,ticker,rank,sector_class,industry_rank,exp_growth,period,load_date
0,SIVB,3-Hold,Industry: Banks - West,Bottom 28% (182 out of 253),,202012,31/12/2020
0,SIRI,4-Sell,Industry: Broadcast Radio and Television,Bottom 32% (172 out of 253),,202012,31/12/2020
0,SI,3-Hold,Industry: Banks - Southwest,Top 23% (57 out of 253),,202012,31/12/2020
0,SHW,2-Buy,Industry: Paints and Related Products,Top 11% (27 out of 253),,202012,31/12/2020
0,SGEN,3-Hold,Industry: Medical - Biomedical and Genetics,Bottom 17% (209 out of 253),,202012,31/12/2020
0,SFST,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SFNC,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SFBS,3-Hold,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,SEDG,1-Strong,Industry: Solar,Top 39% (99 out of 253),,202012,31/12/2020
0,SBRA,2-Buy,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,SBCF,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SASR,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,SAIC,3-Hold,Industry: Computers - IT Services,Bottom 14% (217 out of 253),,202012,31/12/2020
0,SACH,3-Hold,Industry: Financial - Miscellaneous Services,Bottom 33% (170 out of 253),,202012,31/12/2020
0,RP,4-Sell,Industry: Business - Software Services,Top 48% (122 out of 253),,202012,31/12/2020
0,ROP,3-Hold,Industry: Manufacturing - General Industrial ,Top 26% (65 out of 253),,202012,31/12/2020
0,ROLL,2-Buy,Industry: Manufacturing - General Industrial ,Top 26% (65 out of 253),,202012,31/12/2020
0,ROCK,2-Buy,Industry: Building Products - Miscellaneous,Top 28% (70 out of 253),,202012,31/12/2020
0,ROAD,1-Strong,Industry: Building Products - Miscellaneous,Top 28% (70 out of 253),,202012,31/12/2020
0,RNST,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,RMD,3-Hold,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,RM,3-Hold,Industry: Financial - Consumer Loans,Top 35% (88 out of 253),,202012,31/12/2020
0,RGEN,3-Hold,Industry: Medical - Biomedical and Genetics,Bottom 17% (209 out of 253),,202012,31/12/2020
0,REXR,2-Buy,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,REGN,3-Hold,Industry: Medical - Biomedical and Genetics,Bottom 17% (209 out of 253),,202012,31/12/2020
0,REG,4-Sell,Industry: REIT and Equity Trust - Retail,Bottom 11% (226 out of 253),,202012,31/12/2020
0,RC,3-Hold,Industry: REIT and Equity Trust,Bottom 22% (197 out of 253),,202012,31/12/2020
0,RACE,2-Buy,Industry: Automotive - Original Equipment,Top 37% (93 out of 253),,202012,31/12/2020
0,QLYS,3-Hold,Industry: Security,Bottom 4% (244 out of 253),,202012,31/12/2020
0,QIWI,5-Strong,Industry: Financial Transaction Services,Bottom 31% (175 out of 253),,202012,31/12/2020
0,QCRH,3-Hold,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,PVBC,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,PRPL,3-Hold,Industry: Consumer Products - Staples,Top 47% (118 out of 253),,202012,31/12/2020
0,PRLB,3-Hold,Industry: Rubber - Plastics,Top 11% (27 out of 253),,202012,31/12/2020
0,PRI,2-Buy,Industry: Insurance - Life Insurance,Bottom 11% (226 out of 253),,202012,31/12/2020
0,PRAH,4-Sell,Industry: Medical Services,Bottom 28% (182 out of 253),,202012,31/12/2020
0,PPBI,3-Hold,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,POWI,2-Buy,Industry: Semiconductors - Power,Top 3% (7 out of 253),,202012,31/12/2020
0,POOL,3-Hold,Industry: Leisure and Recreation Products,Top 10% (25 out of 253),,202012,31/12/2020
0,PODD,4-Sell,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,PNFP,2-Buy,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,PLNT,4-Sell,Industry: Leisure and Recreation Services,Bottom 21% (201 out of 253),,202012,31/12/2020
0,PLMR,5-Strong,Industry: Insurance - Property and Casualty,Bottom 12% (223 out of 253),,202012,31/12/2020
0,PJT,2-Buy,Industry: Financial - Miscellaneous Services,Bottom 33% (170 out of 253),,202012,31/12/2020
0,PHM,1-Strong,Industry: Building Products - Home Builders,Top 10% (26 out of 253),,202012,31/12/2020
0,PGTI,2-Buy,Industry: Building Products - Miscellaneous,Top 28% (70 out of 253),,202012,31/12/2020
0,PGR,3-Hold,Industry: Insurance - Property and Casualty,Bottom 12% (223 out of 253),,202012,31/12/2020
0,PGC,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,PFBC,3-Hold,Industry: Banks - West,Bottom 28% (182 out of 253),,202012,31/12/2020
0,PCTY,3-Hold,Industry: Internet - Software,Bottom 30% (178 out of 253),,202012,31/12/2020
0,PCH,1-Strong,Industry: Building Products - Wood,Top 8% (20 out of 253),,202012,31/12/2020
0,PAYX,2-Buy,Industry: Outsourcing,Top 40% (102 out of 253),,202012,31/12/2020
0,PAYC,3-Hold,Industry: Internet - Software,Bottom 30% (178 out of 253),,202012,31/12/2020
0,PATK,2-Buy,Industry: Building Products - Mobile Homes and RV Builders,Top 2% (4 out of 253),,202012,31/12/2020
0,PAAS,4-Sell,Industry: Mining - Silver,Bottom 2% (248 out of 253),,202012,31/12/2020
0,OZK,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,OSBC,2-Buy,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,ORRF,1-Strong,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,ORCC,4-Sell,Industry: Financial - Miscellaneous Services,Bottom 33% (170 out of 253),,202012,31/12/2020
0,ONEW,2-Buy,Industry: Leisure and Recreation Products,Top 10% (25 out of 253),,202012,31/12/2020
0,OMAB,1-Strong,Industry: Transportation - Services,Top 40% (102 out of 253),,202012,31/12/2020
0,OLLI,4-Sell,Industry: Consumer Products - Staples,Top 47% (118 out of 253),,202012,31/12/2020
0,OLED,3-Hold,Industry: Electronics - Miscellaneous Components,Top 30% (75 out of 253),,202012,31/12/2020
0,OCFC,3-Hold,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,O,3-Hold,Industry: REIT and Equity Trust - Retail,Bottom 11% (226 out of 253),,202012,31/12/2020
0,NXST,2-Buy,Industry: Broadcast Radio and Television,Bottom 32% (172 out of 253),,202012,31/12/2020
0,NVR,3-Hold,Industry: Building Products - Home Builders,Top 10% (26 out of 253),,202012,31/12/2020
0,NVEE,2-Buy,Industry: Consulting Services,Top 20% (50 out of 253),,202012,31/12/2020
0,NVDA,1-Strong,Industry: Semiconductor - General,Bottom 25% (190 out of 253),,202012,31/12/2020
0,NTES,3-Hold,Industry: Internet - Software and Services,Bottom 15% (215 out of 253),,202012,31/12/2020
0,NSSC,3-Hold,Industry: Security and Safety Services,Top 32% (82 out of 253),,202012,31/12/2020
0,NOC,3-Hold,Industry: Aerospace - Defense,Bottom 22% (197 out of 253),,202012,31/12/2020
0,NOAH,3-Hold,Industry: Financial - Investment Management,Top 17% (44 out of 253),,202012,31/12/2020
0,NICE,3-Hold,Industry: Internet - Software,Bottom 30% (178 out of 253),,202012,31/12/2020
0,NGVT,3-Hold,Industry: Chemical - Specialty,Top 45% (113 out of 253),,202012,31/12/2020
0,NFLX,3-Hold,Industry: Broadcast Radio and Television,Bottom 32% (172 out of 253),,202012,31/12/2020
0,NEWT,3-Hold,Industry: Financial - SBIC & Commercial Industry,Top 47% (120 out of 253),,202012,31/12/2020
0,NEOG,5-Strong,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,NEM,4-Sell,Industry: Mining - Miscellaneous,Top 45% (113 out of 253),,202012,31/12/2020
0,NCBS,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,MTCH,5-Strong,Industry: Internet - Commerce,Bottom 10% (228 out of 253),,202012,31/12/2020
0,MSFT,3-Hold,Industry: Computer - Software,Top 48% (122 out of 253),,202012,31/12/2020
0,MSBI,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,MRCY,1-Strong,Industry: Computer - Peripheral Equipment,Top 44% (112 out of 253),,202012,31/12/2020
0,MPWR,2-Buy,Industry: Semiconductor - Analog and Mixed,Top 30% (75 out of 253),,202012,31/12/2020
0,MOMO,5-Strong,Industry: Internet - Software and Services,Bottom 15% (215 out of 253),,202012,31/12/2020
0,MOFG,3-Hold,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,MNST,2-Buy,Industry: Beverages - Soft drinks,Bottom 19% (206 out of 253),,202012,31/12/2020
0,MNSB,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,MKTX,2-Buy,Industry: Securities and Exchanges,Top 14% (35 out of 253),,202012,31/12/2020
0,MKSI,2-Buy,Industry: Electronics - Manufacturing Machinery,Top 22% (55 out of 253),,202012,31/12/2020
0,MED,3-Hold,Industry: Food - Miscellaneous,Bottom 27% (185 out of 253),,202012,31/12/2020
0,MCHP,2-Buy,Industry: Semiconductor - Analog and Mixed,Top 30% (75 out of 253),,202012,31/12/2020
0,MCB,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,MBUU,1-Strong,Industry: Leisure and Recreation Products,Top 10% (25 out of 253),,202012,31/12/2020
0,MBCN,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,MA,3-Hold,Industry: Financial Transaction Services,Bottom 31% (175 out of 253),,202012,31/12/2020
0,LULU,3-Hold,Industry: Textile - Apparel,Top 48% (122 out of 253),,202012,31/12/2020
0,LSTR,3-Hold,Industry: Transportation - Truck,Top 28% (71 out of 253),,202012,31/12/2020
0,LPLA,2-Buy,Industry: Financial - Investment Bank,Top 7% (17 out of 253),,202012,31/12/2020
0,LOMA,3-Hold,Industry: Building Products - Home Builders,Top 10% (26 out of 253),,202012,31/12/2020
0,LOGI,3-Hold,Industry: Computer - Peripheral Equipment,Top 44% (112 out of 253),,202012,31/12/2020
0,LOB,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,LIN,3-Hold,Industry: Oil and Gas - Field Services,Bottom 6% (237 out of 253),,202012,31/12/2020
0,LHX,4-Sell,Industry: Aerospace - Defense,Bottom 22% (197 out of 253),,202012,31/12/2020
0,LHCG,2-Buy,Industry: Medical Services,Bottom 28% (182 out of 253),,202012,31/12/2020
0,LGIH,2-Buy,Industry: Real Estate - Development,Top 19% (49 out of 253),,202012,31/12/2020
0,LFUS,1-Strong,Industry: Electronics - Miscellaneous Components,Top 30% (75 out of 253),,202012,31/12/2020
0,LFC,3-Hold,Industry: Insurance - Life Insurance,Bottom 11% (226 out of 253),,202012,31/12/2020
0,LEN,1-Strong,Industry: Building Products - Home Builders,Top 10% (26 out of 253),,202012,31/12/2020
0,LEGH,2-Buy,Industry: Real Estate - Operations,Top 37% (93 out of 253),,202012,31/12/2020
0,LCNB,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,LCII,2-Buy,Industry: Automotive - Original Equipment,Top 37% (93 out of 253),,202012,31/12/2020
0,LAD,3-Hold,Industry: Automotive - Retail and Whole Sales,Top 18% (45 out of 253),,202012,31/12/2020
0,KWR,3-Hold,Industry: Chemical - Specialty,Top 45% (113 out of 253),,202012,31/12/2020
0,KRUS,4-Sell,Industry: Retail - Restaurants,Bottom 16% (212 out of 253),,202012,31/12/2020
0,KREF,4-Sell,Industry: REIT and Equity Trust,Bottom 22% (197 out of 253),,202012,31/12/2020
0,KNSL,3-Hold,Industry: Insurance - Property and Casualty,Bottom 12% (223 out of 253),,202012,31/12/2020
0,KMPR,2-Buy,Industry: Insurance - Multi line,Bottom 23% (194 out of 253),,202012,31/12/2020
0,KLAC,2-Buy,Industry: Electronics - Miscellaneous Products,Top 34% (85 out of 253),,202012,31/12/2020
0,KKR,3-Hold,Industry: Financial - Investment Management,Top 17% (44 out of 253),,202012,31/12/2020
0,KFRC,3-Hold,Industry: Staffing Firms,Top 42% (107 out of 253),,202012,31/12/2020
0,KEYS,3-Hold,Industry: Electronics - Measuring Instruments,Top 38% (97 out of 253),,202012,31/12/2020
0,KAI,2-Buy,Industry: Manufacturing - General Industrial ,Top 26% (65 out of 253),,202012,31/12/2020
0,JOBS,3-Hold,Industry: Publishing - Periodicals,Top 48% (122 out of 253),,202012,31/12/2020
0,JLL,1-Strong,Industry: Real Estate - Operations,Top 37% (93 out of 253),,202012,31/12/2020
0,JKHY,2-Buy,Industry: Electronics - Miscellaneous Services,Top 15% (37 out of 253),,202012,31/12/2020
0,JHG,2-Buy,Industry: Financial - Investment Management,Top 17% (44 out of 253),,202012,31/12/2020
0,JD,3-Hold,Industry: Internet - Commerce,Bottom 10% (228 out of 253),,202012,31/12/2020
0,JBHT,3-Hold,Industry: Transportation - Truck,Top 28% (71 out of 253),,202012,31/12/2020
0,JAZZ,3-Hold,Industry: Medical - Drugs,Bottom 30% (178 out of 253),,202012,31/12/2020
0,IT,2-Buy,Industry: Consulting Services,Top 20% (50 out of 253),,202012,31/12/2020
0,ISRG,3-Hold,Industry: Medical - Instruments,Bottom 32% (171 out of 253),,202012,31/12/2020
0,IRMD,3-Hold,Industry: Medical - Instruments,Bottom 32% (171 out of 253),,202012,31/12/2020
0,IRBT,3-Hold,Industry: Industrial Automation and Robotics,Top 30% (75 out of 253),,202012,31/12/2020
0,IPAR,4-Sell,Industry: Cosmetics,Top 39% (99 out of 253),,202012,31/12/2020
0,IOSP,3-Hold,Industry: Chemical - Diversified ,Top 19% (48 out of 253),,202012,31/12/2020
0,IONS,3-Hold,Industry: Medical - Drugs,Bottom 30% (178 out of 253),,202012,31/12/2020
0,INTU,5-Strong,Industry: Computer - Software,Top 48% (122 out of 253),,202012,31/12/2020
0,INMD,3-Hold,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,INDB,4-Sell,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,ICLR,3-Hold,Industry: Medical Services,Bottom 28% (182 out of 253),,202012,31/12/2020
0,ICHR,5-Strong,Industry: Electronics - Semiconductors,Top 42% (107 out of 253),,202012,31/12/2020
0,IBTX,2-Buy,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,IBP,2-Buy,Industry: Building Products - Miscellaneous,Top 28% (70 out of 253),,202012,31/12/2020
0,IBKR,2-Buy,Industry: Financial - Investment Bank,Top 7% (17 out of 253),,202012,31/12/2020
0,IBCP,4-Sell,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,HUBG,3-Hold,Industry: Transportation - Services,Top 40% (102 out of 253),,202012,31/12/2020
0,HTGC,4-Sell,Industry: Financial - SBIC & Commercial Industry,Top 47% (120 out of 253),,202012,31/12/2020
0,HTBK,4-Sell,Industry: Banks - West,Bottom 28% (182 out of 253),,202012,31/12/2020
0,HTA,3-Hold,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,HSY,2-Buy,Industry: Food - Confectionery,Top 3% (7 out of 253),,202012,31/12/2020
0,HQY,3-Hold,Industry: Medical Services,Bottom 28% (182 out of 253),,202012,31/12/2020
0,HOMB,2-Buy,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,HOLI,3-Hold,Industry: Industrial Automation and Robotics,Top 30% (75 out of 253),,202012,31/12/2020
0,HLNE,5-Strong,Industry: Financial - Investment Management,Top 17% (44 out of 253),,202012,31/12/2020
0,HLIO,3-Hold,Industry: Manufacturing - General Industrial ,Top 26% (65 out of 253),,202012,31/12/2020
0,HLI,2-Buy,Industry: Financial - Miscellaneous Services,Bottom 33% (170 out of 253),,202012,31/12/2020
0,HFWA,5-Strong,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,HEI,3-Hold,Industry: Aerospace - Defense Equipment,Bottom 22% (197 out of 253),,202012,31/12/2020
0,HDB,2-Buy,Industry: Banks - Foreign,Top 39% (99 out of 253),,202012,31/12/2020
0,HBNC,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,HBCP,4-Sell,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,HASI,4-Sell,Industry: REIT and Equity Trust,Bottom 22% (197 out of 253),,202012,31/12/2020
0,GTN,4-Sell,Industry: Broadcast Radio and Television,Bottom 32% (172 out of 253),,202012,31/12/2020
0,GTLS,3-Hold,Industry: Manufacturing - General Industrial ,Top 26% (65 out of 253),,202012,31/12/2020
0,GRWG,3-Hold,Industry: Agriculture - Products,Bottom 9% (229 out of 253),,202012,31/12/2020
0,GRBK,2-Buy,Industry: Real Estate - Development,Top 19% (49 out of 253),,202012,31/12/2020
0,GPN,3-Hold,Industry: Financial Transaction Services,Bottom 31% (175 out of 253),,202012,31/12/2020
0,GOOS,4-Sell,Industry: Retail - Apparel and Shoes,Top 34% (85 out of 253),,202012,31/12/2020
0,GOOGL,2-Buy,Industry: Internet - Services,Top 46% (116 out of 253),,202012,31/12/2020
0,GOOG,2-Buy,Industry: Internet - Services,Top 46% (116 out of 253),,202012,31/12/2020
0,GO,3-Hold,Industry: Consumer Products - Staples,Top 47% (118 out of 253),,202012,31/12/2020
0,GNTY,4-Sell,Industry: Banks - Southwest,Top 23% (57 out of 253),,202012,31/12/2020
0,GNRC,2-Buy,Industry: Electronics - Power Generation,Top 15% (37 out of 253),,202012,31/12/2020
0,GMED,3-Hold,Industry: Medical - Instruments,Bottom 32% (171 out of 253),,202012,31/12/2020
0,GLOB,3-Hold,Industry: Internet - Software and Services,Bottom 15% (215 out of 253),,202012,31/12/2020
0,GHG,5-Strong,Industry: Hotels and Motels,Bottom 3% (246 out of 253),,202012,31/12/2020
0,GDOT,2-Buy,Industry: Financial Transaction Services,Bottom 31% (175 out of 253),,202012,31/12/2020
0,GABC,4-Sell,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,FWRD,3-Hold,Industry: Transportation - Truck,Top 28% (71 out of 253),,202012,31/12/2020
0,FVCB,1-Strong,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,FTNT,5-Strong,Industry: Security,Bottom 4% (244 out of 253),,202012,31/12/2020
0,FSS,3-Hold,Industry: Diversified Operations,Top 37% (93 out of 253),,202012,31/12/2020
0,FRME,2-Buy,Industry: Banks - Midwest,Top 26% (65 out of 253),,202012,31/12/2020
0,FRBA,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,FOXF,2-Buy,Industry: Automotive - Domestic,Top 13% (34 out of 253),,202012,31/12/2020
0,FOR,2-Buy,Industry: Real Estate - Development,Top 19% (49 out of 253),,202012,31/12/2020
